Gene_ID,Gene_Name
GeneID:17755,Map1b
GeneID:328324,5930438M14Rik
GeneID:328329,Mast4
GeneID:432801,Gm16416
GeneID:75805,Nln
GeneID:74559,Elovl7
GeneID:238871,Pde4d
GeneID:77318,Ankrd55
GeneID:21834,Thrb
GeneID:22194,Ube2e1
GeneID:11750,Anxa7
GeneID:74843,Mss51
GeneID:18792,Plau
GeneID:22330,Vcl
GeneID:55946,Ap3m1
GeneID:27389,Dusp13
GeneID:67630,Samd8
GeneID:76633,1700112E06Rik
GeneID:11744,Anxa11
GeneID:101055871,LOC101055871
GeneID:171463,Il17rd
GeneID:238988,Erc2
GeneID:75901,Dcp1a
GeneID:21881,Tkt
GeneID:100526475,Mir3076
GeneID:24056,Sh3bp5
GeneID:239027,Arhgap22
GeneID:218914,Wapal
GeneID:70561,Txndc16
GeneID:70713,Gpr137c
GeneID:74480,Samd4
GeneID:78938,Fbxo34
GeneID:75288,Slc35f4
GeneID:78416,Rnase6
GeneID:19752,Rnase1
GeneID:11731,Ang2
GeneID:503847,Ear14
GeneID:29811,Ndrg2
GeneID:219038,Tppp2
GeneID:497071,Rnase13
GeneID:17387,Mmp14
GeneID:75339,Mphosph8
GeneID:100503823,Gm16973
GeneID:50769,Atp8a2
GeneID:70478,Mipep
GeneID:100316771,Mir1196
GeneID:268752,Wdfy2
GeneID:72400,Pinx1
GeneID:16554,Kif13b
GeneID:380912,Zfp395
GeneID:74195,Elp3
GeneID:13829,Epb4.9
GeneID:14171,Fgf17
GeneID:19645,Rb1
GeneID:16432,Itm2b
GeneID:13885,Esd
GeneID:68705,Gtf2f2
GeneID:21807,Tsc22d1
GeneID:629734,Gm6999
GeneID:56419,Diap3
GeneID:219249,Tdrd3
GeneID:103978,Gpc5
GeneID:23888,Gpc6
GeneID:223227,Sox21
GeneID:105559,Mbnl2
GeneID:105445,Dock9
GeneID:106064,AW549877
GeneID:328489,A630020A06
GeneID:68646,Nadkd1
GeneID:17909,Myo10
GeneID:448987,Fbxl7
GeneID:11732,Ank
GeneID:432940,Fam105b
GeneID:223453,Dap
GeneID:67434,Ankrd33b
GeneID:17181,Matn2
GeneID:26942,Spag1
GeneID:18285,Odf1
GeneID:64705,Dpys
GeneID:239393,Lrp12
GeneID:170719,Oxr1
GeneID:68135,Eif3h
GeneID:210544,Wdr67
GeneID:68501,Nsmce2
GeneID:211770,Trib1
GeneID:19296,Pvt1
GeneID:13196,Asap1
GeneID:11838,Arc
GeneID:110454,Ly6a
GeneID:332110,Mapk15
GeneID:105732,Fam83h
GeneID:432964,K230010J24Rik
GeneID:18810,Plec
GeneID:100316774,Mir1942
GeneID:100038659,Gm10872
GeneID:74281,Spatc1
GeneID:117171,1110038F14Rik
GeneID:93686,Rbfox2
GeneID:73376,Tex33
GeneID:71753,Tmprss6
GeneID:20607,Sstr3
GeneID:97961,Nol12
GeneID:110253,Triobp
GeneID:53357,Pla2g6
GeneID:17133,Maff
GeneID:504193,Npcd
GeneID:494448,Cbx6
GeneID:100038357,Gm10856
GeneID:20524,Slc25a17
GeneID:328572,Ep300
