Symbol,SIDM00551,SIDM00478,SIDM00326,SIDM01026,SIDM01028,SIDM00278,SIDM00250,SIDM01032,SIDM01031,SIDM01024,SIDM01027,SIDM00956,SIDM00347,SIDM00325,SIDM01025,SIDM00349,SIDM00052,SIDM01029,SIDM00322
NARS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NCBP1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NCBP2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEDD1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEDD8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NHP2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NHP2L1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NIFK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NOL10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NOL6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NOP16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NPIPA5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NRF1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NSF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NUBP1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NUDT21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NUF2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NUP160,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NUTF2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ORC6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAFAH1B1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAK1IP1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PAM16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PCNA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PDRG1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PFDN2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PHAX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PHB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PHB2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PKMYT1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PLK1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POLD1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POLR2A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POLR2B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POLR2C,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POLR2D,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POLR2E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POLR2F,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POLR2G,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POLR2H,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POLR2K,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POLR2L,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POLR3A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POLR3B,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POLR3F,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POP4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
POP5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PPIL2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PPP1R7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRC1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRELID1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRPF19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRPF38A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRPF4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRPF8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PSMA2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PSMA4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PSMA6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
